"feed_categories_monogastrics","loc","di","ge","n_cont","me_chicken","me_pig","fue","mfa"
"SWILL","swill and scavenge",59,18.45,35,13,10.5,1,1
"GRASSF","local",61,17.8,0,0,10.5556,0.95,1
"PULSES","local",82,18.85,39.6,11.3187,14.7593,1,1
"PSTRAW","local",49,18.45,8.9,0,8.8889,0.9,1
"CASSAVA","local",81,16.9,4.5,13.1484,13.5798,1,1
"WHEAT","local",83,18.5,20,14.5056,15.0438,1,1
"MAIZE","local",88,18.88,15.1,15.8391,16.4471,1,1
"BARLEY","local",76,18.46,18.7,13.1124,13.6798,1,1
"MILLET","local",75,18.68,19.7,13.5333,13.7144,1,1
"RICE","local",77,17.7,13.8,12.5506,13.3978,1,1
"SORGHUM","local",85,18.8,16.9,15.1011,15.7022,1,1
"SOY","local",82,23.96,61.5,14.9451,18.3143,1,1
"TOPS","local",52,18.45,9,0,9.5,0.7,1
"LEAVES","local",48,19,22,0,8.5,0,0
"BNFRUIT","local",94,17.2,8.5,0,16.092,1,1
"BNSTEM","local",51,17.9,12,0,9,0.5,1
"MLSOY","local",80,19.96,76.9,9.7582,14.6209,1,0.8
"MLCTTN","local",56,19.24,61.4,8.246,10.0535,1,0.45
"MLOILSDS","local",67,19.24,61.8,9.2524,11.9675,1,0.6
"GRNBYDRY","local",58,18.91,28.1,7.2921,10.6955,1,0.17
"PULSES","non-local",82,18.85,39.6,11.3187,14.7593,1,0
"CASSAVA","non-local",81,16.9,4.5,13.1484,13.5798,1,1
"WHEAT","non-local",83,18.5,20,14.5056,15.0438,1,1
"MAIZE","non-local",88,18.88,15.1,15.8391,16.4471,1,1
"BARLEY","non-local",76,18.46,18.7,13.1124,13.6798,1,1
"MILLET","non-local",75,18.68,19.7,13.5333,13.7144,1,1
"RICE","non-local",77,17.7,13.8,12.5506,13.3978,1,1
"SORGHUM","non-local",85,18.8,16.9,15.1011,15.7022,1,1
"SOY","non-local",82,23.96,61.5,14.9451,18.3143,1,1
"RAPESEED","non-local",0,28.8,34.3,16.4897,0,1,1
"SOYOIL","non-local",0,39.8,0,39.0549,0,1,1
"MLSOY","non-local",80,19.96,76.9,9.7582,14.6209,1,1
"MLCTTN","non-local",56,19.24,61.4,8.246,10.0535,1,1
"MLRAPE","non-local",0,19.24,56.1,9.2524,0,1,1
"PKEXP","non-local",62,19.24,27,0,11.489,1,1
"MLOILSDS","non-local",67,19.24,61.8,9.2524,11.9675,1,1
"FISHMEAL","non-local",93,18.84,110.3,15.2151,15.2151,0,0
"MOLASSES","non-local",83,15.23,9.4,10.4632,12.5613,1,0.13
"GRNBYDRY","non-local",55,18.91,28.1,7.2921,10.1124,1,0.17
"GRNBYWET","non-local",48,20.05,47.2,0,9.2146,1,1
"SYNTHETIC","non-local",85,18.45,160,12,12.5,0,0
"LIMESTONE","non-local",0,0,0,0,0,0,0
