"country","scenario","species","crop","variable","units","y_2014","y_2015","y_2016","y_2017","y_2018"
0,0,0,"GRAINSIL","N pct in crop","Percent","0.2","0.2","0.2","0.2","0.2"
0,0,0,"GRAINSIL","ymax","kg N ha y-1","105","105","105","105","105"
0,0,0,"GRAINSIL","Fixed N","kg N ha-1 y-1","5","5","5","5","5"
0,0,0,"GRAINSIL","N deposition","kg N ha-1 y-1","5.73103341082226","5.71291241751909","5.79631342071283","5.79631342071283","5.79631342071283"
0,0,0,"MAIZESIL","N pct in crop","Percent","0.2","0.2","0.2","0.2","0.2"
0,0,0,"MAIZESIL","ymax","kg N ha y-1","105","105","105","105","105"
0,0,0,"MAIZESIL","Fixed N","kg N ha-1 y-1","5","5","5","5","5"
0,0,0,"MAIZESIL","N deposition","kg N ha-1 y-1","5.73103341082226","5.71291241751909","5.79631342071283","5.79631342071283","5.79631342071283"
0,0,0,"FDDRBEET","N pct in crop","Percent","0.208","0.208","0.208","0.208","0.208"
0,0,0,"FDDRBEET","ymax","kg N ha y-1","105","105","105","105","105"
0,0,0,"FDDRBEET","Fixed N","kg N ha-1 y-1","5","5","5","5","5"
0,0,0,"FDDRBEET","N deposition","kg N ha-1 y-1","5.73103341082226","5.71291241751909","5.79631342071283","5.79631342071283","5.79631342071283"
0,0,0,"Grassland","Fixed N","kg N ha-1 y-1","5","5","5","5","5"
0,0,0,"Grassland","N deposition","kg N ha-1 y-1","5.73103341082226","5.71291241751909","5.79631342071283","5.79631342071283","5.79631342071283"
0,0,0,"GRASS","N pct in crop","Percent","0.56","0.56","0.56","0.56","0.56"
0,0,0,"GRASSH","N pct in crop","Percent","0.56","0.56","0.56","0.56","0.56"
0,0,0,"GRASSLEGF","N pct in crop","Percent","0.56","0.56","0.56","0.56","0.56"
0,0,0,"GRASSLEGH","N pct in crop","Percent","0.56","0.56","0.56","0.56","0.56"
0,0,0,"ALFALFAH","N pct in crop","Percent","0.56","0.56","0.56","0.56","0.56"
0,0,0,"GRASSF","N pct in crop","Percent","0.56","0.56","0.56","0.56","0.56"
