"manure_management_systems","temp","mcf_less14","mcf_14_26","mcf_above26","direct_ef_n2o_ruminants","direct_ef_n2o_monogastrics","frac_gas_cattle_dairy","frac_gas_cattle_beef","frac_gas_cattle_feedlot","frac_gas_sheep","frac_gas_pig","frac_gas_chicken","frac_leach","n_loss_cattle_dairy","n_loss_cattle_beef","n_loss_sheep","n_loss_pig","n_loss_chicken"
"pasture",26.1477247477753,1,1.5,2,0,0.02,0,0,0,0,20,20,6,0,0,0,0,0
"daily_spread",26.1477247477753,0.1,0.5,1,0,0,7,7,7,7,7,7,6,22,22,22,22,22
"solid_storage",26.1477247477753,2,4,5,0.005,0.005,30,45,45,12,45,45,6,40,50,15,50,50
"dry_lot",26.1477247477753,1,1.5,2,0.02,0.02,20,30,30,30,30,30,6,30,40,40,40,40
"liquid_slurry",26.1477247477753,71.1424923817699,71.1424923817699,71.1424923817699,0,0,40,40,40,40,48,48,17.5,40,40,40,48,48
"liquid_slurry_crust",26.1477247477753,44.1649381955243,44.1649381955243,44.1649381955243,0.005,0.005,40,40,40,40,48,48,17.5,40,40,40,48,48
"anaerobic_lagoon",26.1477247477753,10.4036215382118,10.4036215382118,10.4036215382118,0,0,35,35,35,35,40,40,17.5,77,77,77,78,77
"pitstorage_less1month",26.1477247477753,3,3,30,0.002,0.002,28,28,28,28,25,55,6,28,28,28,25,25
"pitstorage_greater1month",26.1477247477753,71.1424923817699,71.1424923817699,71.1424923817699,0.002,0.002,28,28,28,28,25,55,6,28,28,28,25,25
"pitstorage_greater1month_chickens",26.1477247477753,2,4,5,0.001,0.001,0,0,0,0,0,55,6,100,100,100,100,100
"anaerobic_digester",26.1477247477753,10,10,10,0,0,0,0,0,0,0,0,0,100,100,100,100,100
"composting",26.1477247477753,0.5,1,1.5,0.1,0.1,30,30,30,30,30,30,6,0,0,0,0,0
"burned_fuel",26.1477247477753,10,10,10,0,0,0,0,0,0,0,0,0,100,100,100,100,100
"poultry_with_litter",26.1477247477753,1.5,1.5,1.5,0.001,0.001,0,0,0,0,0,40,6,50,50,50,50,50
